name,category,phone,website,email,address
Belcanto,restaurante,,www.belcanto.pt,reservas@belcanto.pt,"Rua Serpa Pinto 10A, Lisboa"
Restaurante Feitoria,restaurante,,www.restaurantefeitoria.com,info@restaurantefeitoria.com,"Doca do Bom Sucesso, Lisboa"
O Paparico,restaurante,,www.opaparico.com,reservas@opaparico.com,"Rua de Costa Cabral 2343, Porto"
Cantinho do Avillez,restaurante,,www.cantinhodoavillez.pt,geral@cantinhodoavillez.pt,"Rua dos Duques de Bragança 7, Lisboa"
Tasca do Chico,restaurante,,www.tascadochico.pt,info@tascadochico.pt,"Rua dos Remédios 83, Lisboa"
Casa de Chá da Boa Nova,restaurante,,www.casadechadaboanova.pt,info@casadechadaboanova.pt,"Rua da Boa Nova, Matosinhos"
Restaurante Pedro Lemos,restaurante,,www.pedrolemos.com,reservas@pedrolemos.com,"Rua do Padre Luís Cabral 974, Porto"
Solar dos Presuntos,restaurante,,www.solardospresuntos.com,reservas@solardospresuntos.com,"Rua das Portas de Santo Antão 150, Lisboa"
Cervejaria Ramiro,restaurante,,www.cervejariaramiro.pt,geral@cervejariaramiro.pt,"Av Almirante Reis 1H, Lisboa"
A Cevicheria,restaurante,,www.acevicheria.pt,info@acevicheria.pt,"Rua D. Pedro V 129, Lisboa"
